Day,Start,End,Score
0,11,23,2130.7148970373105
1,11,23,2496.814381222063
2,11,23,2569.417124485177
3,12,24,2734.7778242001496
4,12,24,2409.5045956621475
5,13,1,1915.7964589595422
6,12,23,1468.921239849469
