Block,Average Revenue,Total Revenue,Ride Count
40.59 -74.155,27.96,27.96,1
40.725 -73.665,60.85,60.85,1
41.335 -73.785,294.99,294.99,1
40.805 -73.635,104.81,209.61,2
41.08 -73.715,143.4,430.21,3
40.42 -73.995,5.76,5.76,1
40.79 -73.91,13.29,279.12,21
41.0 -73.695,174.35,174.35,1
40.41 -73.465,27.44,54.88,2
40.745 -74.05,34.3,1269.07,37
40.905 -74.19,52.8,105.6,2
40.65 -73.92,15.11,513.59,34
40.815 -74.245,48.43,193.7,4
40.63 -73.94,22.33,1563.19,70
40.65 -73.785,57.33,9472707.69,165236
40.775 -73.7,52.71,1265.01,24
40.545 -74.405,219.36,219.36,1
40.67 -73.77,34.36,1408.93,41
40.86 -74.155,14.3,14.3,1
40.71 -74.21,126.35,252.71,2
40.97 -74.225,135.3,135.3,1
40.725 -73.91,22.44,2580.34,115
40.575 -74.285,14.16,14.16,1
40.78 -74.145,18.96,18.96,1
41.225 -73.76,113.15,226.3,2
40.88 -73.37,20.16,20.16,1
40.875 -65.73,8.8,8.8,1
40.41 -74.305,222.35,222.35,1
40.765 -74.13,8.5,8.5,1
40.6 -74.13,35.14,140.56,4
40.37 -74.115,214.98,214.98,1
41.1 -74.015,135.3,270.6,2
40.685 -74.35,90.3,90.3,1
40.69 -74.055,9.59,28.76,3
41.105 -73.53,216.3,216.3,1
40.775 -73.515,73.05,146.1,2
40.585 -74.215,7.1,35.5,5
40.895 -74.22,150.74,150.74,1
40.83 -74.645,8.83,17.66,2
40.735 -73.44,206.85,206.85,1
40.515 -74.405,180.8,180.8,1
40.73 -74.335,216.12,432.24,2
40.78 -73.42,28.63,143.13,5
40.805 -73.685,78.6,78.6,1
40.69 -73.715,103.07,206.14,2
40.74 -73.735,30.64,459.58,15
45.435 -74.875,69.75,69.75,1
40.855 -74.01,15.5,77.52,5
40.69 -73.68,45.3,45.3,1
40.815 -74.025,19.75,98.76,5
40.855 -49.515,10.8,10.8,1
