Block,Average Revenue,Total Revenue,Ride Count
43.835 -69.045,31.84,31.84,1
40.705 -74.325,9.83,19.66,2
40.85 -74.145,8.75,35.0,4
40.915 -74.01,88.87,266.6,3
40.55 -74.19,6.3,6.3,1
40.27 -74.53,274.98,274.98,1
41.09 -73.63,170.3,170.3,1
40.63 -73.925,22.53,698.43,31
40.7 -73.565,47.3,47.3,1
40.705 -73.575,50.3,100.6,2
40.77 -73.745,41.92,167.7,4
40.755 -73.89,13.7,45104.02,3293
40.86 -73.61,61.81,247.22,4
40.775 -73.705,87.95,351.79,4
40.715 -74.2,4.3,8.6,2
40.975 -74.105,109.18,1091.81,10
40.585 -74.425,255.3,255.3,1
40.85 -74.195,74.86,449.15,6
40.73 -73.93,31.61,3887.95,123
40.985 -73.69,222.52,667.56,3
40.66 -73.805,64.57,238127.46,3688
40.7 -73.735,41.61,208.04,5
40.47 -74.31,169.35,169.35,1
40.77 -73.975,14.18,83657.61,5900
40.85 -74.45,187.55,187.55,1
37.535 -75.235,10.8,10.8,1
40.785 -73.905,14.33,128.96,9
40.595 -74.4,96.36,96.36,1
50.195 -62.065,13.8,13.8,1
40.725 -73.98,14.82,2516719.56,169852
40.7 -73.995,18.76,209516.45,11170
40.775 -73.56,112.93,2258.66,20
42.655 -73.75,3.8,3.8,1
40.61 -74.03,73.63,1325.29,18
40.495 -73.98,6.0,6.0,1
40.69 -73.805,33.41,969.01,29
40.9 -74.205,17.16,17.16,1
40.805 -74.165,68.34,68.34,1
40.95 -73.07,160.3,160.3,1
40.83 -73.82,30.2,362.4,12
40.765 -74.225,119.55,358.65,3
40.915 -73.8,106.0,212.01,2
40.585 -74.095,37.66,112.98,3
40.745 -73.785,21.8,21.8,1
40.745 -73.715,18.77,769.69,41
40.63 -74.105,26.05,78.15,3
38.605 -64.105,17.16,17.16,1
40.73 -73.78,28.76,546.42,19
40.96 -74.14,90.98,272.95,3
40.735 -73.68,53.38,427.02,8
40.925 -73.855,100.55,603.32,6
40.715 -73.85,18.35,348.57,19
40.91 -74.02,134.3,134.3,1
40.16 -72.59,9.55,19.1,2
40.445 -74.51,252.13,252.13,1
40.995 -47.19,5.3,5.3,1
40.435 -74.52,258.63,258.63,1
40.62 -73.745,47.63,142.9,3
40.585 -74.11,16.88,33.76,2
40.88 -74.165,22.56,22.56,1
40.91 -74.415,155.3,155.3,1
41.02 -74.22,12.8,12.8,1
40.765 -73.675,50.3,50.3,1
40.81 -74.195,76.05,76.05,1
40.8 -80.735,11.76,11.76,1
41.34 -73.85,7.3,7.3,1
40.87 -73.8,15.36,15.36,1
40.795 -73.935,14.26,283546.73,19881
40.645 -74.095,13.13,26.26,2
40.655 -73.46,126.8,126.8,1
40.855 -74.285,22.56,22.56,1
40.4 -73.97,34.56,34.56,1
39.97 -75.16,7.8,15.6,2
41.17 -73.72,207.3,207.3,1
40.635 -74.185,8.3,8.3,1
41.235 -73.15,273.65,547.3,2
40.755 -73.95,19.74,50593.87,2563
40.59 -73.8,65.25,260.98,4
40.92 -74.305,13.03,39.1,3
40.74 -73.945,48.53,77115.63,1589
41.02 -74.04,147.61,147.61,1
40.725 -74.33,55.82,223.26,4
41.005 -73.775,132.6,132.6,1
0.775 -73.96,10.0,10.0,1
41.035 -73.915,88.8,177.6,2
40.76 -73.835,22.35,6929.57,310
4.095 -73.97,7.3,7.3,1
40.92 -73.96,86.91,260.72,3
41.06 -73.535,90.3,180.6,2
40.725 -74.21,8.19,8.19,1
41.34 -73.76,13.9,13.9,1
40.545 -74.185,86.44,172.88,2
40.545 -73.915,7.56,7.56,1
40.975 -74.1,121.81,243.62,2
40.73 -73.535,27.3,54.6,2
40.94 -73.89,16.44,65.75,4
40.585 -73.69,57.4,287.0,5
40.685 -74.12,13.92,41.76,3
40.695 -73.715,5.3,10.6,2
40.625 -73.915,12.71,152.46,12
41.46 -74.27,19.56,19.56,1
40.785 -74.145,60.8,60.8,1
41.005 -73.845,113.05,452.2,4
40.37 -74.675,14.45,14.45,1
40.895 -74.23,12.3,12.3,1
40.735 -73.815,25.98,2545.77,98
40.795 -74.07,66.61,1931.77,29
40.87 -74.195,71.43,142.86,2
40.77 -73.515,80.3,80.3,1
40.855 -73.795,13.38,120.46,9
40.79 -73.64,83.15,83.15,1
40.78 -74.245,45.73,228.67,5
41.175 -73.85,150.31,150.31,1
40.945 -73.16,7.3,7.3,1
40.6 -73.82,9.67,38.7,4
40.71 -73.845,15.77,583.35,37
40.685 -73.97,15.64,50061.97,3201
40.71 -74.035,39.8,716.41,18
40.69 -73.495,108.35,108.35,1
40.555 -74.265,3.8,3.8,1
40.83 -73.43,186.36,186.36,1
34.14 -76.12,8.3,8.3,1
40.66 -73.735,28.61,143.04,5
43.76 -68.415,10.8,10.8,1
40.29 -73.85,12.96,12.96,1
44.15 -73.665,13.56,13.56,1
40.91 -73.85,83.3,83.3,1
40.76 -74.06,10.73,21.46,2
40.59 -74.1,51.4,205.6,4
40.535 -73.96,8.76,8.76,1
40.77 -74.14,7.3,7.3,1
40.595 -74.065,47.55,95.1,2
40.825 -73.96,15.21,349.73,23
40.815 -73.115,8.8,8.8,1
40.77 -73.495,120.3,120.3,1
40.71 -73.885,17.97,395.37,22
41.03 -73.61,100.3,200.6,2
40.955 -74.13,28.3,56.6,2
40.79 -74.09,350.3,350.3,1
40.69 -73.75,59.87,119.74,2
40.75 -73.97,15.14,5753899.58,379999
40.68 -73.875,37.13,2710.82,73
40.67 -73.885,18.21,346.06,19
40.83 -73.84,19.34,406.13,21
40.54 -74.3,40.3,40.3,1
40.8 -73.905,13.48,215.66,16
40.8 -73.515,156.3,156.3,1
40.725 -73.99,14.86,9653381.75,649826
40.84 -73.825,31.07,435.02,14
41.005 -73.635,196.05,196.05,1
40.38 -74.12,20.3,20.3,1
40.685 -73.815,14.2,142.0,10
40.735 -74.215,9.36,9.36,1
40.77 -74.055,13.8,82.78,6
40.685 -73.87,19.4,698.49,36
41.0 -73.885,103.34,103.34,1
40.86 -74.355,10.28,20.56,2
41.035 -75.25,410.0,410.0,1
40.875 -74.425,217.3,217.3,1
40.69 -73.8,19.81,277.39,14
40.71 -73.955,15.95,209485.13,13134
40.805 -73.445,87.8,175.6,2
40.675 -73.75,6.17,37.01,6
40.89 -73.83,12.08,84.57,7
41.16 -70.73,3.3,3.3,1
40.455 -73.935,8.8,8.8,1
28.57 -85.08,8.8,8.8,1
40.91 -73.54,64.8,64.8,1
40.675 -74.115,118.61,1186.1,10
41.13 -73.71,105.3,105.3,1
40.775 -74.445,14.16,14.16,1
42.135 -67.155,52.8,52.8,1
40.675 -73.71,11.3,11.3,1
40.74 -73.96,18.87,4396.61,233
40.79 -74.145,9.49,9.49,1
40.63 -73.935,23.71,853.46,36
40.95 -73.74,0.31,0.31,1
40.66 -73.76,27.67,166.04,6
40.995 -74.035,99.43,198.86,2
38.15 -60.785,8.3,8.3,1
40.725 -73.565,5.63,5.63,1
41.005 -74.44,9.3,9.3,1
40.685 -73.935,15.95,15182.05,952
41.095 -74.81,11.1,11.1,1
41.19 -74.145,17.76,17.76,1
40.73 -73.925,27.94,5056.51,181
44.855 -55.34,33.36,33.36,1
40.84 -73.945,22.29,107097.2,4805
41.42 -73.955,176.3,176.3,1
40.8 -73.71,65.8,65.8,1
40.925 -74.02,119.21,596.05,5
40.735 -73.46,95.3,95.3,1
40.41 -74.14,152.56,152.56,1
40.955 -73.79,78.77,78.77,1
40.84 -73.975,41.24,948.53,23
40.975 -73.75,125.59,251.19,2
40.67 -73.82,25.86,465.4,18
40.515 -74.365,224.52,224.52,1
40.545 -74.155,79.51,79.51,1
40.55 -74.21,151.12,302.23,2
40.505 -74.425,221.3,221.3,1
40.87 -74.055,22.17,88.7,4
40.82 -73.255,307.61,307.61,1
40.66 -73.535,145.63,436.9,3
40.755 -73.86,15.58,2212.26,142
40.68 -74.445,75.18,150.35,2
40.63 -73.995,12.67,430.76,34
41.0 -73.75,139.7,139.7,1
40.995 -74.11,84.41,337.64,4
40.62 -74.455,240.3,240.3,1
40.695 -74.345,8.8,8.8,1
40.8 -73.79,42.84,42.84,1
40.84 -73.74,8.16,16.32,2
0.08 -73.975,13.4,13.4,1
40.415 -74.19,199.55,199.55,1
40.57 -74.615,60.3,60.3,1
38.055 -69.65,59.13,59.13,1
40.925 -73.835,51.42,359.95,7
40.71 -74.31,125.3,125.3,1
40.95 -73.855,95.58,191.16,2
40.86 -73.46,100.3,100.3,1
40.735 -73.475,115.3,230.6,2
41.075 -73.71,179.76,179.76,1
40.805 -73.345,150.3,150.3,1
40.89 -74.72,300.37,300.37,1
41.08 -73.825,106.21,424.85,4
40.865 -74.255,18.3,18.3,1
40.87 -73.385,194.05,194.05,1
40.75 -73.605,82.0,82.0,1
41.025 -73.865,161.76,161.76,1
40.87 -73.795,30.96,30.96,1
40.565 -74.445,222.91,445.82,2
40.8 -74.045,28.46,227.69,8
40.695 -73.39,131.8,131.8,1
45.445 -72.5,27.96,27.96,1
40.79 -73.9,16.5,214.47,13
40.75 -73.545,49.37,148.1,3
40.705 -74.295,51.13,357.91,7
40.77 -74.07,42.79,256.73,6
40.72 -73.82,15.87,2206.44,139
40.625 -73.905,34.78,208.69,6
41.075 -74.155,185.3,185.3,1
40.585 -73.65,65.35,261.4,4
40.705 -74.205,8.49,25.46,3
40.65 -73.79,54.17,511261.77,9438
40.82 -73.395,157.2,157.2,1
40.635 -73.83,22.05,44.1,2
40.73 -74.57,212.55,212.55,1
40.755 -73.975,14.99,16709151.39,1114835
40.55 -74.175,24.36,24.36,1
40.625 -73.98,14.75,427.72,29
40.69 -73.365,27.8,27.8,1
42.745 -77.06,25.2,25.2,1
40.955 -73.84,3.8,3.8,1
40.74 -74.0,20.15,12505502.09,620639
40.745 -73.775,41.7,1084.33,26
40.745 -74.08,18.96,37.92,2
40.715 -73.965,16.73,289292.24,17287
40.68 -73.775,25.46,738.38,29
40.71 -74.005,18.33,3173189.34,173075
41.39 -73.955,272.3,272.3,1
40.715 -74.06,60.17,120.35,2
40.965 -73.69,55.8,55.8,1
40.665 -73.88,22.13,641.82,29
40.675 -73.755,30.39,212.7,7
40.815 -73.475,100.4,301.2,3
40.95 -74.23,100.0,100.0,1
40.91 -73.97,79.35,317.4,4
40.755 -73.41,45.56,182.25,4
40.595 -74.225,9.8,9.8,1
40.655 -73.725,25.47,127.35,5
41.185 -74.11,8.76,8.76,1
40.715 -73.885,15.23,457.01,30
40.675 -74.265,12.22,36.65,3
30.555 -32.405,17.16,17.16,1
40.915 -74.08,131.28,262.56,2
40.645 -73.665,125.84,125.84,1
40.675 -74.22,12.8,12.8,1
40.695 -73.775,28.67,86.01,3
40.785 -73.92,14.36,330.22,23
40.87 -73.815,6.3,6.3,1
40.795 -74.43,14.84,89.05,6
19.465 -87.45,9.96,9.96,1
40.665 -73.95,15.76,10388.86,659
40.47 -73.8,15.36,15.36,1
40.65 -74.12,32.54,162.68,5
40.83 -74.24,127.97,255.95,2
46.005 45.12,14.16,14.16,1
40.875 -73.85,13.0,767.18,59
40.8 -74.35,135.01,810.09,6
40.735 -74.405,3.8,7.6,2
40.575 -74.39,100.3,100.3,1
40.805 -73.87,10.81,118.88,11
40.805 -74.065,10.82,21.64,2
40.96 -73.815,39.67,119.0,3
40.905 -73.84,70.76,353.8,5
40.625 -74.135,24.3,24.3,1
40.69 -73.91,17.76,4333.98,244
40.895 -73.85,43.42,390.75,9
40.88 -73.83,17.84,1177.35,66
41.02 -73.555,120.35,120.35,1
41.15 -73.535,225.85,225.85,1
40.535 -74.0,12.3,12.3,1
41.05 -73.69,154.33,154.33,1
44.245 -76.595,15.96,15.96,1
40.815 -73.855,21.52,473.46,22
40.81 -74.09,15.93,31.86,2
40.695 -73.81,61.23,90505.28,1478
40.78 -73.215,4.3,4.3,1
40.55 -74.155,60.3,60.3,1
40.73 -73.73,10.3,30.9,3
39.645 -74.72,33.8,33.8,1
40.63 -74.1,29.17,233.35,8
40.575 -74.23,9.13,27.4,3
40.69 -73.515,12.8,12.8,1
38.25 -84.81,19.3,19.3,1
40.39 -74.575,300.8,300.8,1
40.78 -73.6,3.3,3.3,1
41.115 -74.385,6.96,6.96,1
41.005 -74.46,10.56,10.56,1
40.825 -74.005,16.57,132.56,8
40.62 -74.28,175.96,175.96,1
40.82 -73.9,15.21,3073.15,202
40.73 -73.87,27.57,22577.31,819
40.665 -74.345,128.65,257.3,2
40.495 -73.945,14.3,28.6,2
40.57 -73.735,25.27,75.82,3
40.595 -73.99,25.54,357.54,14
40.62 -73.89,16.55,33.1,2
40.805 -74.01,21.61,388.9,18
40.72 -73.85,14.97,868.35,58
40.62 -73.715,84.14,84.14,1
40.77 -74.37,18.05,36.1,2
40.79 -3.965,6.3,6.3,1
40.925 -73.7,7.54,7.54,1
40.845 -73.395,190.3,190.3,1
40.655 -74.12,43.06,473.65,11
40.585 -73.58,145.3,145.3,1
40.77 -73.845,21.98,483.62,22
40.75 -74.065,13.26,132.64,10
40.365 -74.6,371.04,371.04,1
32.79 -79.075,23.3,23.3,1
40.865 -74.385,142.79,713.94,5
40.73 -74.045,38.66,9896.13,256
40.725 -74.295,108.82,326.46,3
41.06 -73.425,6.68,26.7,4
40.805 -74.05,15.66,31.32,2
40.845 -74.225,7.56,7.56,1
40.835 -74.18,0.3,0.3,1
49.555 -92.325,15.96,15.96,1
41.075 -74.135,170.34,340.68,2
40.74 -73.765,26.15,78.44,3
40.765 -73.82,17.35,1839.37,106
40.975 -74.025,97.72,293.15,3
40.87 -74.335,20.3,20.3,1
40.87 -74.04,86.97,173.95,2
40.835 -74.235,9.8,19.6,2
40.81 -73.77,9.3,9.3,1
40.34 -73.975,400.3,400.3,1
40.705 -74.2,17.61,105.68,6
40.93 -74.4,24.9,24.9,1
40.685 -73.94,18.18,22599.4,1243
40.73 -74.025,23.61,708.18,30
40.57 -74.555,304.3,304.3,1
40.89 -73.79,45.2,135.6,3
40.76 -73.78,33.45,334.46,10
40.94 -73.82,72.65,290.61,4
38.0 -76.96,8.8,8.8,1
40.875 -74.42,130.53,783.18,6
40.66 -73.665,95.3,95.3,1
46.54 -74.115,37.58,37.58,1
40.795 -73.5,18.73,37.46,2
40.635 -73.955,20.06,1263.51,63
40.715 -73.63,134.57,403.7,3
40.775 -74.03,52.59,2576.91,49
40.73 -74.245,56.33,225.32,4
40.72 -73.76,18.26,730.52,40
40.595 -72.925,11.84,35.52,3
40.765 -74.3,130.8,130.8,1
41.0 -80.59,25.56,25.56,1
40.485 -74.28,157.55,472.64,3
40.895 -73.79,60.3,60.3,1
40.65 -74.345,103.31,929.75,9
41.035 -73.81,122.3,122.3,1
40.59 -74.085,10.55,21.1,2
40.76 -74.25,6.8,6.8,1
40.74 -73.54,83.16,83.16,1
40.755 -73.645,72.98,145.97,2
40.575 -74.17,59.43,178.3,3
40.805 -73.44,7.21,14.42,2
40.83 -73.855,17.54,1754.15,100
40.665 -73.775,64.37,5021.14,78
41.055 -73.795,144.36,144.36,1
40.865 -73.865,13.28,1076.06,81
40.44 -74.25,231.3,231.3,1
40.915 -73.945,22.3,22.3,1
40.79 -74.185,224.09,224.09,1
40.6 -73.91,32.14,160.7,5
40.81 -73.8,22.39,111.96,5
41.005 -73.66,148.4,296.8,2
40.935 -74.085,170.51,170.51,1
52.48 -68.095,11.16,11.16,1
40.825 -74.225,112.22,224.44,2
39.265 -76.57,4.8,4.8,1
40.98 -74.12,122.11,1221.06,10
40.91 -74.275,9.13,27.4,3
41.23 -73.0,115.3,115.3,1
40.715 -74.315,52.8,52.8,1
28.51 -80.14,8.8,8.8,1
40.42 -74.275,165.3,165.3,1
40.715 -74.28,137.51,412.54,3
40.59 -73.695,50.3,50.3,1
41.065 -73.86,75.3,150.6,2
40.615 -74.005,17.92,358.43,20
40.755 -74.35,14.8,29.6,2
40.675 -73.66,26.8,26.8,1
40.83 -74.255,92.82,278.45,3
40.52 -74.015,27.3,27.3,1
40.76 -73.655,100.8,100.8,1
40.815 -74.23,128.53,257.05,2
40.7 -74.205,12.68,25.36,2
46.04 -45.72,6.3,6.3,1
40.76 -73.68,90.3,180.6,2
40.63 -73.89,50.66,962.63,19
40.755 -73.83,21.3,5644.44,265
40.62 -74.075,40.8,40.8,1
40.79 -73.615,127.8,127.8,1
40.805 -74.1,67.99,339.97,5
40.585 -73.99,35.01,1400.21,40
40.92 -72.72,194.3,388.6,2
40.7 -73.945,14.77,33209.52,2249
40.745 -73.89,13.21,181782.71,13757
40.625 -73.86,24.09,265.0,11
40.65 -74.1,44.55,44.55,1
40.97 -72.24,495.3,495.3,1
40.72 -73.605,54.21,379.49,7
40.84 -73.855,16.25,2193.88,135
40.73 -74.08,37.62,300.97,8
40.675 -74.07,14.67,88.02,6
40.7 -73.775,17.93,71.7,4
40.655 -74.53,174.59,174.59,1
40.745 -73.63,84.55,84.55,1
40.635 -74.205,58.34,58.34,1
40.8 -74.12,70.3,70.3,1
40.755 -74.08,11.0,11.0,1
40.76 -73.94,9.98,48669.94,4878
40.675 -74.0,18.75,209490.44,11172
40.63 -73.805,16.49,164.86,10
40.75 -74.18,75.29,527.05,7
40.805 -74.15,33.8,67.6,2
4.105 -73.99,16.3,16.3,1
40.94 -74.115,111.05,111.05,1
40.75 -74.185,35.94,143.75,4
40.8 -74.375,9.39,28.16,3
41.025 -73.96,130.3,130.3,1
40.69 -74.205,40.56,81.12,2
40.775 -74.435,170.05,170.05,1
40.745 -73.86,17.33,1525.33,88
40.79 -73.73,64.51,645.11,10
40.805 -73.9,23.38,93.5,4
40.89 -73.82,21.63,64.9,3
40.715 -73.8,18.62,1601.52,86
40.655 -73.995,18.82,94.11,5
40.665 -73.975,17.74,7504.69,423
40.685 -73.615,30.05,300.53,10
40.82 -74.21,86.89,347.57,4
40.655 -73.915,18.66,1791.78,96
40.68 -73.595,13.63,54.52,4
39.99 -74.065,15.96,15.96,1
40.855 -73.86,18.78,657.38,35
40.66 -74.17,73.44,1689.23,23
40.69 -73.885,41.55,83.1,2
40.79 -73.82,34.73,486.28,14
41.38 -73.92,50.3,50.3,1
40.73 -74.005,14.47,6750905.13,466531
40.22 -74.01,120.3,120.3,1
41.96 -75.34,26.76,26.76,1
45.765 -87.48,12.8,12.8,1
39.96 -75.255,106.18,212.36,2
42.155 -82.56,8.19,8.19,1
40.58 -74.335,117.05,234.1,2
40.76 -73.9,23.77,20082.41,845
40.92 -73.725,11.76,11.76,1
40.88 -74.0,27.72,138.62,5
40.755 -73.825,19.69,2461.48,125
40.785 -73.51,140.76,140.76,1
40.955 -73.81,107.8,215.6,2
40.655 -74.045,9.75,29.26,3
40.78 -74.175,234.69,234.69,1
40.865 -74.135,9.3,9.3,1
45.495 -82.285,60.36,60.36,1
43.29 -67.83,24.3,24.3,1
40.9 -74.265,29.05,58.1,2
40.72 -73.73,15.63,484.58,31
40.535 -74.01,11.76,11.76,1
40.76 -73.915,14.18,77078.14,5435
40.93 -73.845,59.33,593.29,10
41.095 -73.585,14.23,56.92,4
40.64 -73.92,15.76,346.79,22
40.74 -73.59,163.5,163.5,1
40.725 -74.0,14.31,6866151.18,479714
40.73 -74.015,15.17,1486.64,98
40.85 -72.59,16.06,224.78,14
40.87 -73.93,20.57,1604.25,78
40.75 -73.685,18.55,37.1,2
39.205 -74.07,10.8,10.8,1
40.525 -74.0,22.3,22.3,1
40.86 -73.915,28.13,1884.64,67
41.03 -73.77,110.83,2105.86,19
40.68 -74.37,3.9,19.5,5
40.665 -73.895,18.03,2109.11,117
40.56 -74.085,12.3,12.3,1
40.835 -73.95,19.35,11317.09,585
40.625 -74.05,12.8,12.8,1
40.59 -70.375,16.56,16.56,1
49.855 -85.465,22.56,22.56,1
41.1 -73.8,18.8,18.8,1
40.605 -73.82,32.62,163.08,5
40.825 -74.04,66.48,132.96,2
40.815 -74.08,10.8,10.8,1
40.795 -74.335,75.1,300.4,4
40.89 -74.025,30.19,211.35,7
40.825 -73.84,16.7,584.53,35
40.915 -73.86,28.4,255.59,9
40.83 -73.69,99.96,1199.48,12
40.415 -74.04,135.3,135.3,1
41.095 -73.96,115.3,115.3,1
40.675 -73.805,58.34,41185.77,706
40.845 -74.005,23.62,496.01,21
40.805 -74.125,37.94,227.65,6
40.975 -73.775,144.96,144.96,1
40.955 -73.815,92.13,644.94,7
40.87 -73.935,50.42,100.85,2
40.805 -73.865,20.74,145.16,7
40.78 -74.005,45.23,2940.19,65
31.36 -64.105,12.3,12.3,1
40.575 -73.9,17.8,17.8,1
41.14 -73.32,298.28,298.28,1
40.955 -73.88,62.8,125.6,2
40.58 -74.345,65.3,130.6,2
40.77 -73.735,41.52,581.26,14
41.055 -73.755,15.0,15.0,1
40.72 -74.295,12.3,12.3,1
40.705 -74.235,152.88,305.76,2
40.955 -73.785,80.3,80.3,1
46.375 -71.26,9.3,9.3,1
40.71 -74.18,75.99,5091.42,67
40.86 -74.005,17.93,197.28,11
40.685 -73.74,47.07,2871.06,61
40.885 -74.105,131.81,263.61,2
40.97 -74.115,148.93,297.85,2
56.73 -80.55,5.8,5.8,1
41.21 -73.9,11.2,11.2,1
40.68 -73.88,23.48,3685.62,157
40.895 -74.335,10.3,10.3,1
40.67 -73.55,140.55,281.1,2
40.595 -74.42,8.3,8.3,1
67.895 -116.14,63.13,63.13,1
39.385 -74.425,376.0,376.0,1
40.705 -73.9,16.04,2149.69,134
41.02 -73.87,139.61,139.61,1
41.31 -73.67,97.8,97.8,1
41.015 -73.565,188.8,188.8,1
40.77 -74.425,227.56,227.56,1
40.915 -74.035,101.59,711.12,7
40.665 -74.02,16.79,83.93,5
40.59 -73.91,70.52,1128.24,16
40.46 -73.995,8.76,8.76,1
40.895 -74.24,149.91,299.81,2
38.775 -78.61,10.56,10.56,1
40.88 -74.075,4.55,9.1,2
32.63 -78.885,5.16,5.16,1
40.83 -73.08,30.3,30.3,1
36.735 -65.195,14.3,14.3,1
49.095 -83.2,12.3,12.3,1
40.725 -73.785,27.36,136.8,5
40.865 -73.945,16.65,133.18,8
40.84 -74.355,15.3,15.3,1
40.845 -73.875,31.96,159.81,5
37.405 -76.495,9.96,9.96,1
40.84 -73.53,70.3,70.3,1
42.075 -77.325,19.56,19.56,1
40.68 -73.66,62.8,125.61,2
41.0 -73.855,169.12,169.12,1
33.94 -65.895,17.0,17.0,1
40.535 -73.695,23.35,46.7,2
41.075 -74.14,150.96,603.85,4
40.64 -73.775,39.32,196.59,5
40.79 -73.835,26.22,340.81,13
40.765 -74.34,16.93,33.86,2
40.87 -73.97,49.48,544.24,11
40.81 -74.365,190.8,190.8,1
40.795 -73.535,62.3,124.6,2
40.63 -74.34,195.06,195.06,1
40.66 -73.52,105.3,105.3,1
41.005 -73.695,172.43,344.86,2
40.55 -74.335,175.8,351.59,2
40.54 -73.91,19.12,19.12,1
57.825 -122.2,13.3,13.3,1
5.215 -93.26,17.16,17.16,1
16.095 -79.64,17.25,17.25,1
40.74 -73.565,70.08,280.3,4
40.78 -73.625,78.7,157.4,2
40.645 -74.03,15.88,31.75,2
40.55 -74.315,203.8,203.8,1
40.84 -73.845,21.13,3992.88,189
41.04 -73.585,143.23,1289.03,9
40.675 -73.92,17.29,4669.49,270
40.83 -74.105,40.63,528.15,13
40.73 -74.01,14.33,1284079.3,89625
40.875 -73.625,156.96,156.96,1
40.58 -73.775,8.75,8.75,1
40.82 -73.68,31.1,31.1,1
68.04 -110.34,21.8,21.8,1
40.995 -73.79,125.42,125.42,1
40.87 -74.08,21.8,21.8,1
42.395 -67.575,29.8,29.8,1
41.01 -73.685,157.3,157.3,1
40.565 -74.63,265.52,796.56,3
40.595 -73.775,12.02,108.14,9
42.33 -78.82,24.8,24.8,1
40.745 -74.055,22.8,866.26,38
40.83 -72.885,220.3,220.3,1
40.735 -74.02,17.29,639.73,37
40.815 -73.91,14.11,5670.51,402
40.745 -73.71,10.79,291.42,27
40.835 -72.065,25.56,25.56,1
40.345 -74.145,300.3,300.3,1
40.76 -736.265,16.56,16.56,1
40.64 -73.785,59.49,381833.67,6418
40.64 -73.705,56.54,282.7,5
40.675 -73.775,26.67,320.01,12
40.63 -74.29,128.3,256.6,2
40.675 -73.875,24.67,1159.33,47
40.81 -73.76,75.32,527.25,7
40.7 -73.815,53.42,112725.76,2110
40.59 -74.235,103.49,413.95,4
42.43 -67.67,11.6,11.6,1
40.885 -74.07,70.3,70.3,1
40.77 -73.105,109.32,327.96,3
40.715 -73.745,20.71,704.12,34
40.69 -73.535,85.3,85.3,1
40.815 -73.51,131.3,131.3,1
40.615 -73.895,48.47,872.47,18
40.635 -73.995,26.86,1020.68,38
40.71 -73.815,16.39,3572.15,218
40.665 -73.78,39.15,7478.0,191
32.655 -71.815,12.8,12.8,1
41.02 -73.62,116.42,232.83,2
40.72 -73.745,28.66,143.28,5
45.71 -85.215,10.56,10.56,1
40.575 -73.85,52.84,211.36,4
40.535 -74.395,255.3,255.3,1
40.77 -74.365,10.56,10.56,1
40.78 -73.905,17.37,3299.78,190
40.975 -74.475,9.8,9.8,1
40.385 -74.185,100.55,100.55,1
40.65 -74.06,21.96,21.96,1
40.405 -74.0,30.3,30.3,1
40.715 -74.565,180.8,180.8,1
40.7 -73.705,4.3,4.3,1
40.66 -73.98,17.4,35129.06,2019
40.71 -73.71,11.62,104.62,9
40.785 -73.615,4.8,9.6,2
40.83 -73.915,15.59,3569.59,229
40.675 -74.275,133.55,267.1,2
40.79 -73.415,158.16,632.63,4
40.685 -73.835,22.8,889.19,39
45.335 -83.465,18.36,18.36,1
40.6 -74.365,288.96,288.96,1
41.145 -73.835,221.14,221.14,1
40.295 -74.495,8.3,8.3,1
29.55 -58.25,10.56,10.56,1
40.64 -74.22,14.57,58.28,4
42.125 -66.02,16.3,16.3,1
40.695 -74.34,52.8,52.8,1
40.78 -73.79,50.3,50.3,1
35.345 -71.58,8.76,8.76,1
40.76 -73.83,18.24,26081.57,1430
40.615 -74.075,76.05,152.1,2
40.865 -73.81,14.3,14.3,1
40.83 -73.905,13.59,4076.62,300
40.725 -73.79,21.18,1038.05,49
40.59 -73.81,15.27,76.36,5
41.265 -71.79,37.84,37.84,1
41.05 -73.565,122.25,1100.27,9
40.675 -73.37,215.3,215.3,1
40.665 -73.675,270.8,270.8,1
40.71 -73.695,85.3,85.3,1
40.645 -73.79,55.15,21928168.18,397626
40.905 -74.035,28.67,114.7,4
40.67 -73.72,43.3,43.3,1
40.87 -74.07,86.3,86.3,1
40.285 -74.515,250.0,250.0,1
40.915 -73.855,47.6,333.2,7
41.425 -73.245,483.38,483.38,1
40.69 -73.84,24.91,821.96,33
40.405 -73.545,18.3,18.3,1
40.61 -73.82,25.84,155.05,6
40.99 -73.665,0.31,0.31,1
38.9 -74.56,17.76,17.76,1
40.67 -74.115,66.55,266.2,4
40.62 -74.015,20.74,663.71,32
40.97 -74.105,123.95,123.95,1
41.725 -65.27,5.3,5.3,1
40.545 -74.15,56.17,112.34,2
40.58 -73.94,28.8,143.99,5
40.705 -74.075,24.51,220.63,9
40.905 -73.015,220.3,220.3,1
40.695 -75.21,140.8,140.8,1
40.705 -73.595,7.3,7.3,1
40.84 -74.135,42.88,171.51,4
37.08 -73.685,12.96,12.96,1
40.785 -73.835,23.1,323.44,14
40.84 -73.685,60.89,243.57,4
40.81 -74.025,9.74,38.96,4
33.335 -72.33,7.3,7.3,1
41.205 -73.395,344.89,344.89,1
40.995 -73.685,160.0,160.0,1
40.83 -73.865,15.39,1523.84,99
40.605 -74.02,41.98,461.83,11
40.91 -73.84,42.8,128.4,3
40.695 -74.175,84.43,113045.69,1339
41.085 -73.77,19.58,19.58,1
40.725 -73.805,13.05,469.77,36
40.85 -73.88,19.45,388.9,20
40.815 -74.165,56.62,113.25,2
